Ativo;Número Série Fabricante;Código Produto;Produto;Contrato;Nome Fantasia do Cliente;Representante;Data Envio;Valor Produtos
001159;‌001159;10223;NOTEBOOK DELL VOSTRO 3401 CORE I5 SSD 256GB 16GB RAM W10;48;INSIGHTFUL [ 26 ];LEONARDO MULLER [ 2 ];27/09/2023;223
001514;‌VG622WN3PX;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;192;HADRONS [ 131 ];LEONARDO MULLER [ 2 ];31/08/2024;1.136,00
001515;‌H49D4P99X1;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;192;HADRONS [ 131 ];LEONARDO MULLER [ 2 ];31/08/2024;1.136,00
001516;‌YP905H4LYK;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;192;HADRONS [ 131 ];LEONARDO MULLER [ 2 ];21/11/2024;1.136,00
001560;‌YLQW29HT2F;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;192;HADRONS [ 131 ];LEONARDO MULLER [ 2 ];31/08/2024;1.136,00
001561;‌TT7WP6JG2J;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;192;HADRONS [ 131 ];LEONARDO MULLER [ 2 ];17/07/2025;1.136,00
001563;‌WRWQ79V59G;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;105;SPRING WIRELESS (BRASIL) [ 102 ];GUILHERME TOSTA [ 1 ];14/07/2023;1.150,00
001566;‌PR9D665FPW;1052;MACBOOK APPLE PRO 14 M1 SSD 512GB 16GB RAM;51;K2 PARTNERING SOLUTIONS [ 36 ];GUILHERME TOSTA [ 1 ];10/07/2023;1.400,00
1000;‌PE06MZ09;1032;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I7 SSD 480GB 16GB RAM;51;K2 PARTNERING SOLUTIONS [ 36 ];GUILHERME TOSTA [ 1 ];22/07/2024;342
1002;‌SPE061RVB;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5 SSD256GB 8GB WIN10;46;SMART TRADE [ 23 ];GUILHERME TOSTA [ 1 ];28/03/2023;342,5
1003;‌PE06SAG6;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5 SSD256GB 8GB WIN10;41;BELTIS [ 21 ];LEONARDO MULLER [ 2 ];29/11/2022;180
1007;‌SV301VAA6;3051;MONITOR LCD LENOVO THINKVISION T23I-10 23;3;YOU.ON [ 2 ];GUILHERME TOSTA [ 1 ];06/12/2022;132
1008;‌SV301V9VT;3051;MONITOR LCD LENOVO THINKVISION T23I-10 23;3;YOU.ON [ 2 ];GUILHERME TOSTA [ 1 ];13/06/2023;132
1011;‌PE07BXB5;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 8GB RAM W11;82;HS INTERMEDIACAO DE COMPRAS [ 84 ];GUILHERME TOSTA [ 1 ];07/06/2023;249
1012;‌PE07D1E2;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 8GB RAM W11;188;RANDSTAD BRASIL [ 113 ];GUILHERME TOSTA [ 1 ];30/08/2024;311,5
1014;‌PE07D1DX;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 16GB RAM;51;K2 PARTNERING SOLUTIONS [ 36 ];GUILHERME TOSTA [ 1 ];19/01/2024;260
1015;‌PE07CDRL;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 16GB RAM;51;K2 PARTNERING SOLUTIONS [ 36 ];GUILHERME TOSTA [ 1 ];11/01/2024;260
1016;‌PE07CY90;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 16GB RAM;51;K2 PARTNERING SOLUTIONS [ 36 ];GUILHERME TOSTA [ 1 ];29/06/2023;260
1017;‌PE07CE50;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 16GB RAM;51;K2 PARTNERING SOLUTIONS [ 36 ];GUILHERME TOSTA [ 1 ];13/08/2024;260
1019;‌PE07D1E4;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5 SSD256GB 16GB RAM;122;CONVERSYS IT SOLUTIONS [ 110 ];LEONARDO MULLER [ 2 ];28/07/2025;239
