nome_cliente;cnpj;contrato n;prazo contratual;indice_reajuste;vendedor
360 M2;39.683.664/0001-38;1;12;5;LEONARDO
AGROCETE BRASIL;75.007.385/0001-18;94;36;5;GUILHERME
AIS DIGITAL;17.653.740/0001-20;153;12;5;LEONARDO
ALL CUBO LIVE MKT;28.832.076/0001-00;250;12;5;LEONARDO
AUTONOMY INVESTIMENTOS DESENVOLVIMENTOS;16.810.791/0001-55;167;12;5;LEONARDO
BEGHIM INDUSTRIA E COMERCIO DE EQUIPAMEN;61.145.843/0001-70;95;36;5;LEONARDO
BELTIS;09.116.592/0001-86;110;24;5;LEONARDO
BELTIS;09.116.592/0001-86;115;24;5;LEONARDO
BELTIS;09.116.592/0001-86;120;24;5;LEONARDO
BELTIS;09.116.592/0001-86;136;24;5;LEONARDO
BELTIS;09.116.592/0001-86;190;24;5;LEONARDO
BELTIS;09.116.592/0001-86;199;24;5;LEONARDO
BELTIS;09.116.592/0001-86;201;24;5;LEONARDO
BELTIS;09.116.592/0001-86;255;24;5;LEONARDO
BELTIS;09.116.592/0001-86;36;24;5;LEONARDO
BELTIS;09.116.592/0001-86;37;24;5;LEONARDO
BELTIS;09.116.592/0001-86;38;24;5;LEONARDO
BELTIS;09.116.592/0001-86;39;24;5;LEONARDO
BELTIS;09.116.592/0001-86;40;24;5;LEONARDO
BELTIS;09.116.592/0001-86;41;24;5;LEONARDO
BELTIS;09.116.592/0001-86;42;24;5;LEONARDO
BELTIS;09.116.592/0001-86;44;24;5;LEONARDO
BELTIS;09.116.592/0001-86;45;24;5;LEONARDO
BEMATIZE;17.805.249/0001-77;203;12;5;LEONARDO
BLUE TECNOLOGIA E PROJETOS;29.808.669/0001-96;237;12;5;LEONARDO
BRASIL AROMATICOS PRODUTOS NATURAIS LTDA;05.378.994/0001-06;225;12;5;LEONARDO
BRINDERA BRINDES;55.436.142/0001-98;235;12;5;LEONARDO
CAST PARTICIPACOES S.A.;17.837.377/0001-00;152;60;5;LEONARDO
CAST PARTICIPACOES S.A.;17.837.377/0001-00;240;36;5;LEONARDO
