cod pro;Razão Social;Nome Fantasia;ativo;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1060;SPE061REV;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;2;PREMIUM;;29/08/2022;0;;Envio;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1070;SPE061RVD;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;2;PREMIUM;;01/09/2022;0;;Envio;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1073;SPE061RSR;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;2;PREMIUM;;01/09/2022;0;;Envio;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1430;PE0A9QPG;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;2;PREMIUM;;15/05/2023;10;;Envio;0,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1430;PE0A9QPG;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;2;PREMIUM;;02/01/2024;921;;Retorno;0,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;2642;PE08Q0AR;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;2;PREMIUM;;15/04/2024;1480;;Envio;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1312;PE084TBX;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;2;PREMIUM;;20/05/2024;1742;;Envio;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;2808;1J5NW14;10257;NOTEBOOK DELL LATITUDE 3440 CORE I5 SSD;2;PREMIUM;;25/06/2024;2076;;Envio;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1073;SPE061RSR;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;2;PREMIUM;;05/07/2024;2171;;Retorno;259,00
1;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA E RISCOS LTDA;PREMIUMBRAVO CONTABILIDADE, CONSULTORIA;1060;SPE061REV;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;2;PREMIUM;;10/07/2024;2195;;Retorno;259,00
