cod Cliente;Razão Social;Nome Fantasia;Equipamento;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
2;YOU.ON ENERGIA S.A;YOU.ON;2361;VNA8WKFW;3051;MONITOR LCD LENOVO THINKVISION T23I-10 2;3;YOU.ON ENERGIA S.A;*;08/07/2025;5508;;Envio;132,00
2;YOU.ON ENERGIA S.A;YOU.ON;1132;PE08P321;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;4;YOU.ON ENERGIA S.A;;08/07/2025;5507;;Envio;323,75
2;YOU.ON ENERGIA S.A;YOU.ON;2095;PE08T63P;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;4;YOU.ON ENERGIA S.A;;08/07/2025;5506;;Envio;323,75
2;YOU.ON ENERGIA S.A;YOU.ON;2401;PE0BPPH9;10231;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;4;YOU.ON ENERGIA S.A;;08/07/2025;5506;;Retorno;323,75
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;6129;5PP5HB4;10369;NOTEBOOK DELL LATITUDE 3450 CORE I7 SSD;255;SAO PAULO;;10/07/2025;5529;;Envio;348,00
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;6130;6QP5HB4;10369;NOTEBOOK DELL LATITUDE 3450 CORE I7 SSD;255;SAO PAULO;;10/07/2025;5529;;Envio;348,00
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;6133;3RP5HB4;10369;NOTEBOOK DELL LATITUDE 3450 CORE I7 SSD;255;SAO PAULO;;10/07/2025;5529;;Envio;348,00
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;6145;1RP5HB4;10369;NOTEBOOK DELL LATITUDE 3450 CORE I7 SSD;255;SAO PAULO;;10/07/2025;5529;;Envio;348,00
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;1575;PE0A8JQA;1054;NOTEBOOK LENOVO THINKPAD L14 AMD R7 PRO;44;SESCOOP;;22/07/2025;5641;;Envio;168,90
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;1815;PE097ZL9;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;45;SIM RASTREAMENTO;;21/07/2025;5639;;Retorno;150,00
21;BELTIS COMERCIO E PRESTACAO DE SERVICOS;BELTIS;2949;PE060EQZ;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;45;SIM RASTREAMENTO;;21/07/2025;5638;;Retorno;150,00
23;SMART TRADE TERCEIRIZACAO DE MAO DE OBRA;SMART TRADE;1342;SPE061RTW;1028;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;46;SMART TRADE TERCEIRIZACAO DE MAO DE OBRA;*;23/07/2025;5667;;Retorno;342,50
25;TP SERVICOS DE INFORMACAO LTDA;TUDO EM PAUTA;4601;PE0CT8BQ;10269;NOTEBOOK LENOVO THINKPAD L14 G3 AMD R5 P;47;TP SERVICOS DE INFORMACAO LTDA;;02/07/2025;5430;;Envio;279,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;1132;PE08P321;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;48;INSIGHTFUL TESTES DE SOFTWARE LTDA;*;04/07/2025;5450;;Retorno;223,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;4130;PE0AV488;1057;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;11/07/2025;5418;;Retorno;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2631;PE0C39V6;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;15/07/2025;5558;;Envio;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2869;PE0C3AAX;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;16/07/2025;5559;;Envio;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;5766;PE06FS15;10218;NOTEBOOK LENOVO THINKPAD T14 G1 CORE I5;48;C/ 32GB;;17/07/2025;5588;;Retorno;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2073;PE0AV89V;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;18/07/2025;5505;;Envio;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;5919;PE0AV4R5;1057;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;18/07/2025;5505;;Retorno;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2869;PE0C3AAX;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;21/07/2025;5621;;Retorno;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;4130;PE0AV488;1057;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;21/07/2025;5596;;Envio;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2071;PE0AV858;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;23/07/2025;5651;;Envio;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2631;PE0C39V6;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;23/07/2025;5681;;Retorno;275,00
26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;2869;PE0C3AAX;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;48;C/ 32GB;;30/07/2025;5725;;Envio;275,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1990;PE072RLY;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;PRICE LIST 2;;01/07/2025;5416;;Envio;234,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;5627;9M08P74;10369;NOTEBOOK DELL LATITUDE 3450 CORE I7 SSD;51;PRICE LIST 2;;01/07/2025;5400;;Envio;307,80
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;5719;PE0DRCCY;10282;NOTEBOOK LENOVO THINKBOOK 14 CORE I5 SSD;51;PRICE LISTµ2;;01/07/2025;5412;;Envio;234,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;5764;PE06KTS0;10218;NOTEBOOK LENOVO THINKPAD T14 G1 CORE I5;51;PRICE LIST 2;;01/07/2025;5411;;Envio;234,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2095;PE08T63P;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;02/07/2025;5359;;Retorno;260,00
