Local;COD Cliente;Razão Social;Nome Fantasia;ATIVO;Série do Fabricante;Condição;COD Produto;Descrição PRO;Valor da Compra;Inativo;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;4423;189O2XA005934;Novo;3044;MONITOR AOC 21.5 22P2UM;539,99;;1;;;08/08/2025;5870;;Envio;52,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;4427;189O2XA006005;Novo;3044;MONITOR AOC 21.5 22P2UM;539,99;;1;;;08/08/2025;5870;;Envio;52,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;4990;17X4T64;Novo;10278;NOTEBOOK DELL LATITUDE 3450 CORE I5 SSD;0,00;;1;;;08/08/2025;5876;;Envio;268,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;4991;BDDCS64;Novo;10278;NOTEBOOK DELL LATITUDE 3450 CORE I5 SSD;0,00;;1;;;08/08/2025;5876;;Envio;268,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;5937;BRM512KY8T;Novo;10288;NOTEBOOK HP 250R G9 CORE I5 1334U  SSD 2;3.099,00;;1;;;08/08/2025;5870;;Envio;268,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;5937;BRM512KY8T;Novo;10288;NOTEBOOK HP 250R G9 CORE I5 1334U  SSD 2;3.099,00;;1;;;08/08/2025;5877;;Retorno;268,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;5984;BRM512KYCH;Novo;10288;NOTEBOOK HP 250R G9 CORE I5 1334U  SSD 2;3.099,00;;1;;;08/08/2025;5870;;Envio;268,00
WEBACK [0];3;360 STARTUP IMOBILIARIA LTDA;360 M2;5984;BRM512KYCH;Novo;10288;NOTEBOOK HP 250R G9 CORE I5 1334U  SSD 2;3.099,00;;1;;;08/08/2025;5877;;Retorno;268,00
WEBACK [0];11;GLOBO COMUNICACAO E PARTICIPACOES S/A;TV GLOBO_ESTUDIOS;1147;3,52856E+14;Novo;4021;TABLET SAMSUNG GALAXY TAB S6 LITE 4G 64G;0,00;;245;PADRAO;;07/08/2025;5833;;Envio;180,00
WEBACK [0];26;INSIGHTFUL TESTES DE SOFTWARE LTDA;INSIGHTFUL;5919;PE0AV4R5;Novo;1057;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;2.949,99;;48;C/ 32GB;;06/08/2025;5836;;Envio;275,00
